airport_name,airport_kr_name,airport_iata_code,airport_iso_country,airport_continent
Butler Memorial Airport,버틀러 메모리얼 공항,BUM,US,NA
Bob Hope Airport,밥 호프 공항,BUR,US,NA
Beaver County Airport,비버 카운티 공항,BFP,US,NA
Bartlesville Municipal Airport,바틀스빌 시립공항,BVO,US,NA
Skagit Regional Airport,Skagit 지역 공항,MVW,US,NA
Batesville Regional Airport,베이츠빌 지역공항,BVX,US,NA
Beverly Regional Airport,비벌리 지역공항,BVY,US,NA
Brawley Municipal Airport,브라울리 시립공항,BWC,US,NA
Brownwood Regional Airport,브라운우드 지역공항,BWD,US,NA
Bowling Green Warren County Regional Airport,볼링 그린 워렌 카운티 지역 공항,BWG,US,NA
Baltimore/Washington International Thurgood Marshall Airport,볼티모어/워싱턴 국제서굿마셜공항,BWI,US,NA
Harry Stern Airport,해리 스턴 공항,WAH,US,NA
Bowman Regional Airport,보우먼 지역공항,BWM,US,NA
Buckeye Municipal Airport,벅아이 시립공항,BXK,US,NA
Johnson County Airport,존슨 카운티 공항,BYG,US,NA
Arkansas International Airport,아칸소 국제공항,BYH,US,NA
Burley Municipal Airport,벌리 시립공항,BYI,US,NA
Bay City Regional Airport,베이시티 지역공항,BBC,US,NA
Bozeman Yellowstone International Airport,보즈먼 옐로스톤 국제공항,BZN,US,NA
Grand Geneva Resort Airport,그랜드 제네바 리조트 에어포트,XES,US,NA
Plymouth Municipal Airport,플리머스 시립공항,PLY,US,NA
New Coalinga Municipal Airport,뉴 콜린가 시립공항,CLG,US,NA
Wexford County Airport,웩스포드 카운티 공항,CAD,US,NA
Columbia Metropolitan Airport,콜롬비아 메트로폴리탄 공항,CAE,US,NA
Craig Moffat Airport,크레이그 모팻 공항,CIG,US,NA
Akron Canton Regional Airport,애크런 캔턴 지역공항,CAK,US,NA
Caribou Municipal Airport,카리부 시립공항,CAR,US,NA
Greater Cumberland Regional Airport,그레이터 컴벌랜드 지역공항,CBE,US,NA
Council Bluffs Municipal Airport,카운실블러프스 시립공항,CBF,US,NA
Cable Airport,케이블 공항,CCB,US,NA
Northeast Iowa Regional Airport,노스이스트 아이오와 지역공항,CCY,US,NA
Caledonia County Airport,칼레도니아 카운티 공항,LLX,US,NA
Cedar City Regional Airport,시더시티 지역공항,CDC,US,NA
Chadron Municipal Airport,채드런 시립공항,CDR,US,NA
Childress Municipal Airport,차일드레스 시립공항,CDS,US,NA
Essex County Airport,에식스 카운티 공항,CDW,US,NA
Jack Mc Namara Field Airport,잭 맥 나마라 필드 공항,CEC,US,NA
Westover Metropolitan Airport,웨스트오버 메트로폴리탄 공항,CEF,US,NA
Oconee County Regional Airport,오코니 카운티 지역공항,CEU,US,NA
Bob Sikes Airport,밥 사이크스 공항,CEW,US,NA
Cortez Municipal Airport,코르테스 시립공항,CEZ,US,NA
Tuscola Area Airport,투스콜라 지역 공항,TZC,US,NA
Greenlee County Airport,그린리 카운티 공항,CFT,US,NA
Coffeyville Municipal Airport,커피빌 시립공항,CFV,US,NA
Cambridge Dorchester Airport,캠브리지 도체스터 공항,CGE,US,NA
Cuyahoga County Airport,쿠야호가 카운티 공항,CGF,US,NA
Cape Girardeau Regional Airport,케이프 지라도 지역공항,CGI,US,NA
College Park Airport,칼리지 파크 공항,CGS,US,NA
Casa Grande Municipal Airport,카사 그란데 시립공항,CGZ,US,NA
Chattanooga Metropolitan Airport,채터누가 메트로폴리탄 공항,CHA,US,NA
Chickasha Municipal Airport,치카샤 시립공항,CHK,US,NA
Charlottesville Albemarle Airport,샬로츠빌 앨버말 공항,CHO,US,NA
Charleston International Airport,찰스턴 국제공항,CHS,US,NA
Chico Regional Airport,치코 지역공항,CIC,US,NA
The Eastern Iowa Airport,이스턴 아이오와 공항,CID,US,NA
Arthur N Neu Airport,아서 N 노이 공항,CIN,US,NA
Cairo Regional Airport,카이로 지역공항,CIR,US,NA
Chippewa County International Airport,치페와 카운티 국제공항,CIU,US,NA
North Central West Virginia Airport,노스센트럴웨스트버지니아 공항,CKB,US,NA
Grand Marais Cook County Airport,그랜드 마레 쿡 카운티 공항,GRM,US,NA
Chignik Lagoon Airport,치그니크 라군 공항,KCL,US,NA
Cleveland Hopkins International Airport,클리블랜드 홉킨스 국제공항,CLE,US,NA
Clintonville Municipal Airport,클린턴빌 시립공항,CLI,US,NA
Clinton Regional Airport,클린턴 지역공항,CLK,US,NA
William R Fairchild International Airport,윌리엄 R 페어차일드 국제공항,CLM,US,NA
Cliff Hatfield Memorial Airport,클리프 햇필드 메모리얼 공항,CLR,US,NA
Chehalis Centralia Airport,체할리스 센트레일리아 공항,CLS,US,NA
Charlotte Douglas International Airport,샬럿 더글라스 국제공항,CLT,US,NA
John Glenn Columbus International Airport,존 글렌 콜럼버스 국제공항,CMH,US,NA
University of Illinois Willard Airport,일리노이대학교 윌라드 공항,CMI,US,NA
Houghton County Memorial Airport,휴튼 카운티 메모리얼 공항,CMX,US,NA
Sparta Fort McCoy Airport,스파르타 포트 맥코이 공항,CMY,US,NA
Claremont Municipal Airport,클레어몬트 시립공항,CNH,US,NA
Blosser Municipal Airport,블로서 시립공항,CNK,US,NA
Chino Airport,치노 공항,CNO,US,NA
Chanute Martin Johnson Airport,차누트 마틴 존슨 공항,CNU,US,NA
TSTC Waco Airport,TSTC 와코 공항,CNW,US,NA
Canyonlands Regional Airport,캐니언랜드 지역공항,CNY,US,NA
Yellowstone Regional Airport,옐로스톤 지역공항,COD,US,NA
Merritt Island Airport,메리트 아일랜드 공항,COI,US,NA
Coleman Municipal Airport,콜먼 시립공항,COM,US,NA
Concord Municipal Airport,콩코드 시립공항,CON,US,NA
City of Colorado Springs Municipal Airport,콜로라도 스프링스 시 시립공항,COS,US,NA
Cotulla-La Salle County Airport,코툴라-라 살레 카운티 공항,COT,US,NA
Columbia Regional Airport,컬럼비아 지역 공항,COU,US,NA
Compton Woodley Airport,콤프턴 우들리 공항,CPM,US,NA
Casper-Natrona County International Airport,캐스퍼-내트로나 카운티 국제공항,CPR,US,NA
St Louis Downtown Airport,세인트루이스 다운타운 공항,CPS,US,NA
Colorado Creek Airport,콜로라도 크릭 공항,KCR,US,NA
Grand Strand Airport,그랜드 스트랜드 공항,CRE,US,NA
Jacksonville Executive at Craig Airport,크레이그 공항의 잭슨빌 이그제큐티브,CRG,US,NA
Corcoran Airport,코코란 공항,CRO,US,NA
Corpus Christi International Airport,코퍼스 크리스티 국제공항,CRP,US,NA
McClellan-Palomar Airport,매클렐런-팔로마 공항,CLD,US,NA
C David Campbell Field Corsicana Municipal Airport,C 데이비드 캠벨 필드 코르시카나 시립공항,CRS,US,NA
Yeager Airport,예거 공항,CRW,US,NA
Roscoe Turner Airport,로스코 터너 공항,CRX,US,NA
Columbus Metropolitan Airport,콜럼버스 메트로폴리탄 공항,CSG,US,NA
Clinton Sherman Airport,클린턴 셔먼 공항,CSM,US,NA
Creston Municipal Airport,크레스턴 시립공항,CSQ,US,NA
Cut Bank International Airport,컷뱅크 국제공항,CTB,US,NA
Cross City Airport,크로스시티 공항,CTY,US,NA
Sampson County Airport,샘슨 카운티 공항,CTZ,US,NA
Jim Hamilton L.B. Owens Airport,짐 해밀턴 L.B. 오웬스 공항,CUB,US,NA
Cushing Municipal Airport,쿠싱 시립공항,CUH,US,NA
Cincinnati Northern Kentucky International Airport,신시내티 노던켄터키 국제공항,CVG,US,NA
Sharp County Regional Airport,샤프 카운티 지역공항,CKK,US,NA
Clovis Municipal Airport,클로비스 시립공항,CVN,US,NA
Corvallis Municipal Airport,코밸리스 시립공항,CVO,US,NA
Central Wisconsin Airport,센트럴 위스콘신 공항,CWA,US,NA
Kickapoo Downtown Airport,키카푸 다운타운 공항,KIP,US,NA
Chennault International Airport,첸노 국제공항,CWF,US,NA
Clinton Municipal Airport,클린턴 시립공항,CWI,US,NA
Calexico International Airport,칼렉시코 국제공항,CXL,US,NA
Conroe-North Houston Regional Airport,콘로-노스 휴스턴 지역공항,CXO,US,NA
Carson Airport,카슨 공항,CSN,US,NA
Capital City Airport,캐피탈시티 공항,HAR,US,NA
Dimmit County Airport,디미트 카운티 공항,CZT,US,NA
Tioga Municipal Airport,티오가 시립공항,VEX,US,NA
Daytona Beach International Airport,데이토나 비치 국제공항,DAB,US,NA
Barstow Daggett Airport,바스토 대게트 공항,DAG,US,NA
Danville Regional Airport,댄빌 지역공항,DAN,US,NA
James M Cox Dayton International Airport,제임스 M 콕스 데이턴 국제공항,DAY,US,NA
W H 'Bud' Barron Airport,W H '버드' 배런 공항,DBN,US,NA
Dubuque Regional Airport,더뷰크 지역공항,DBQ,US,NA
Ronald Reagan Washington National Airport,로널드 레이건 워싱턴 내셔널 공항,DCA,US,NA
Pryor Field Regional Airport,프라이어 필드 지역공항,DCU,US,NA
Dodge City Regional Airport,닷지 시티 지역공항,DDC,US,NA
Decatur Airport,디케이터 공항,DEC,US,NA
Decorah Municipal Airport,데코라 시립공항,DEH,US,NA
Denver International Airport,덴버 국제공항,DEN,US,NA
Coleman A. Young Municipal Airport,콜먼 A. 영 시립공항,DET,US,NA
Defiance Memorial Airport,디파이언스 메모리얼 공항,DFI,US,NA
Dallas Fort Worth International Airport,댈러스 포트워스 국제공항,DFW,US,NA
Douglas Municipal Airport,더글러스 시립공항,DGL,US,NA
Converse County Airport,컨버스 카운티 공항,DGW,US,NA
Dothan Regional Airport,도단 지역공항,DHN,US,NA
Dalhart Municipal Airport,달하트 시립공항,DHT,US,NA
Dickinson Theodore Roosevelt Regional Airport,디킨슨 시어도어 루즈벨트 지역공항,DIK,US,NA
Chautauqua County-Dunkirk Airport,셔터쿼 카운티-덩케르크 공항,DKK,US,NA
Dillon County Airport,딜런 카운티 공항,DLL,US,NA
Duluth International Airport,덜루스 국제공항,DLH,US,NA
Dillon Airport,딜런 공항,DLN,US,NA
Columbia Gorge Regional Airport,컬럼비아 협곡 지역공항,DLS,US,NA
Deming Municipal Airport,데밍 시립공항,DMN,US,NA
Sedalia Memorial Airport,시데일리아 메모리얼 공항,DMO,US,NA
Dalton Municipal Airport,달튼 시립공항,DNN,US,NA
Denison Municipal Airport,데니슨 시립공항,DNS,US,NA
Vermilion Regional Airport,버밀리온 지역공항,DNV,US,NA
Kandep Airport,칸뎁 공항,KDP,PG,OC
Dupage Airport,듀페이지 공항,DPA,US,NA
Michael AAF (Dugway Proving Ground) Airport,마이클 AAF(더그웨이 시험장) 공항,DPG,US,NA
Kamberatoro Airport,캄베라토로 공항,KDQ,PG,OC
Desert Rock Airport,데저트 록 공항,DRA,US,NA
Beauregard Regional Airport,보레가드 지역공항,DRI,US,NA
Drummond Island Airport,드러먼드 아일랜드 공항,DRE,US,NA
Durango La Plata County Airport,두랑고 라 플라타 카운티 공항,DRO,US,NA
Del Rio International Airport,델리오 국제공항,DRT,US,NA
Kamaran Downs Airport,카마란 다운스 공항,KDS,AU,OC
Des Moines International Airport,디모인 국제공항,DSM,US,NA
Dansville Municipal Airport,댄스빌 시립공항,DSV,US,NA
Delta Municipal Airport,델타 시립공항,DTA,US,NA
Detroit Lakes Airport,디트로이트 레이크 공항,DTL,US,NA
Shreveport Downtown Airport,슈리브포트 다운타운 공항,DTN,US,NA
Destin Executive Airport,데스틴 이그제큐티브 공항,DSI,US,NA
Detroit Metropolitan Wayne County Airport,디트로이트 메트로폴리탄 웨인 카운티 공항,DTW,US,NA
Bisbee Douglas International Airport,비스비 더글라스 국제공항,DUG,US,NA
DuBois Regional Airport,두부아 지역공항,DUJ,US,NA
Devils Lake Regional Airport,데블스 레이크 지역공항,DVL,US,NA
Davenport Municipal Airport,대번포트 시립공항,DVN,US,NA
Slayton Municipal Airport,슬레이튼 시립공항,NSL,US,NA
Phoenix Deer Valley Airport,피닉스 디어 밸리 공항,DVT,US,NA
David Wayne Hooks Memorial Airport,데이비드 웨인 훅스 메모리얼 공항,DWH,US,NA
Danbury Municipal Airport,댄버리 시립공항,DXR,US,NA
Doylestown Airport,도일스타운 공항,DYL,US,NA
Vipingo Estate Airport,비핑고 에스테이트 공항,VPG,KE,AF
Kichwa Tembo Airport,키츠와 템보 공항,KTJ,KE,AF
Angama Airport,앙가마 공항,ANA,KE,AF
Olkiombo Airport,올키옴보 공항,OLX,KE,AF
Kerio Valley Airport,케리오 밸리 공항,KRV,KE,AF
Kiunga Airport,키운가 공항,KIU,KE,AF
Liboi Airport,리보이 공항,LBK,KE,AF
Lake Baringo Airport,레이크 바링고 공항,LBN,KE,AF
Lake Rudolf Airport,루돌프 호수 공항,LKU,KE,AF
Mumias Airport,무미아스 공항,MUM,KE,AF
Roy Hurd Memorial Airport,로이 허드 메모리얼 공항,MIF,US,NA
Crane County Airport,크레인 카운티 공항,CCG,US,NA
Ohkay Owingeh Airport,오케이 오윙게 공항,ESO,US,NA
Whiteriver Airport,화이트리버 공항,WTR,US,NA
Alpine Casparis Municipal Airport,알파인 카스파리스 시립공항,ALE,US,NA
Bagdad Airport,바그다드 공항,BGT,US,NA
Kearney Regional Airport,키어니 지역공항,EAR,US,NA
Pangborn Memorial Airport,팽본 메모리얼 공항,EAT,US,NA
Chippewa Valley Regional Airport,치페와 밸리 지역공항,EAU,US,NA
Nanwalek Airport,낸월렉 공항,KEB,US,NA
Webster City Municipal Airport,웹스터 시티 시립공항,EBS,US,NA
Elizabeth City Regional Airport,엘리자베스 시티 지역공항,ECG,US,NA
Northwest Florida Beaches International Airport,노스웨스트 플로리다 비치스 국제공항,ECP,US,NA
Northeastern Regional Airport,노스이스턴 지역 공항,EDE,US,NA
Enterprise Municipal Airport,엔터프라이즈 시립공항,ETS,US,NA
Needles Airport,니들스 공항,EED,US,NA
Dillant Hopkins Airport,딜런트 홉킨스 공항,EEN,US,NA
Ellington Airport,엘링턴 공항,EFD,US,NA
Northeast Kingdom International Airport,노스이스트 킹덤 국제공항,EFK,US,NA
Jefferson Municipal Airport,제퍼슨 시립공항,EFW,US,NA
Keglsugl Airport,케글수글 공항,KEG,PG,OC
Eagle County Regional Airport,이글 카운티 지역공항,EGE,US,NA
Eagle River Union Airport,이글 리버 유니온 공항,EGV,US,NA
Ekwok Airport,엑웍 공항,KEK,US,NA
Elkhart Municipal Airport,엘크하트 시립공항,EKI,US,NA
Elkins-Randolph County Regional Airport,엘킨스-랜돌프 카운티 지역공항,EKN,US,NA
Elko Regional Airport,엘코 지역공항,EKO,US,NA
Elizabethtown Regional Airport,엘리자베스타운 지역공항,EKX,US,NA
Eagle Lake Airport,이글 레이크 공항,ELA,US,NA
Elk City Regional Business Airport,엘크 시티 지역 비즈니스 공항,ELK,US,NA
Elmira Corning Regional Airport,엘미라 코닝 지역공항,ELM,US,NA
Ely Municipal Airport,엘리 시립공항,LYU,US,NA
El Paso International Airport,엘패소 국제공항,ELP,US,NA
Kemmerer Municipal Airport,케머러 시립공항,EMM,US,NA
Emporia Municipal Airport,엠포리아 시립공항,EMP,US,NA
San Gabriel Valley Airport,샌 가브리엘 밸리 공항,EMT,US,NA
Centralia Municipal Airport,센트레일리아 시립공항,ENL,US,NA
Wendover Airport,웬도버 공항,ENV,US,NA
Kenosha Regional Airport,케노샤 지역공항,ENW,US,NA
Keokuk Municipal Airport,케쿡 시립공항,EOK,US,NA
Neosho Hugh Robinson Airport,네오쇼 휴 로빈슨 공항,EOS,US,NA
Ephrata Municipal Airport,에프라타 시립공항,EPH,US,NA
Captain Jack Thomas El Dorado Airport,캡틴 잭 토마스 엘도라도 공항,EDK,US,NA
Errol Airport,에롤 공항,ERR,US,NA
Delta County Airport,델타 카운티 공항,ESC,US,NA
Esler Army Airfield / Esler Regional Airport,에슬러 육군 비행장 / 에슬러 지역 공항,ESF,US,NA
Estherville Municipal Airport,에스터빌 시립공항,EST,US,NA
Easton State Airport,이스턴 주립공항,ESW,US,NA
West Bend Municipal Airport,웨스트벤드 시립공항,ETB,US,NA
Eastland Municipal Airport,이스트랜드 시립공항,ETN,US,NA
Eveleth/Virginia Municipal Airport,에블레스/버지니아 시립공항,EVM,US,NA
Evansville Regional Airport,에반스빌 지역공항,EVV,US,NA
New Bedford Regional Airport,뉴베드포드 지역공항,EWB,US,NA
Newton City-County Airport,뉴턴 시티-카운티 공항,EWK,US,NA
Coastal Carolina Regional Airport,코스털 캐롤라이나 지역공항,EWN,US,NA
Newark Liberty International Airport,뉴어크 리버티 국제공항,EWR,US,NA
Kanabea Airport,가나베 공항,KEX,PG,OC
Key West International Airport,키웨스트 국제공항,EYW,US,NA
Wilbarger County Airport,윌바거 카운티 공항,WIB,US,NA
French Valley Airport,프렌치 밸리 공항,RBK,US,NA
Farmington Regional Airport,파밍턴 지역공항,FAM,US,NA
Hector International Airport,헥터 국제공항,FAR,US,NA
Fresno Yosemite International Airport,프레즈노 요세미티 국제공항,FAT,US,NA
Fort Bridger Airport,포트 브리저 공항,FBR,US,NA
Fairbury Municipal Airport,페어베리 시립공항,FBY,US,NA
Fresno Chandler Executive Airport,프레즈노 챈들러 이그제큐티브 공항,FCH,US,NA
Flying Cloud Airport,플라잉 클라우드 공항,FCM,US,NA
Forrest City Municipal Airport,포레스트 시티 시립공항,FCY,US,NA
Frederick Municipal Airport,프레드릭 시립공항,FDK,US,NA
Frederick Regional Airport,프레드릭 지역 공항,FDR,US,NA
Findlay Airport,핀들레이 공항,FDY,US,NA
Albertus Airport,알베르투스 공항,FEP,US,NA
Fremont Municipal Airport,프리몬트 시립공항,FET,US,NA
First Flight Airport,퍼스트 플라이트 공항,FFA,US,NA
Fairfield Municipal Airport,페어필드 시립공항,FFL,US,NA
Capital City Airport,캐피탈시티 공항,FFT,US,NA
Friday Harbor Airport,프라이데이 하버 공항,FRD,US,NA
Venango Regional Airport,베낭고 지역공항,FKL,US,NA
Franklin Regional Airport,프랭클린 지역공항,FKN,US,NA
Fond du Lac County Airport,퐁뒤락 카운티 공항,FLD,US,NA
Flagstaff Pulliam International Airport,플래그스태프 풀리엄 국제공항,FLG,US,NA
Fort Lauderdale Hollywood International Airport,포트로더데일 할리우드 국제공항,FLL,US,NA
Florence Regional Airport,피렌체 지역공항,FLO,US,NA
Marion County Regional Airport,매리언 카운티 지역공항,FLP,US,NA
Fallon Municipal Airport,팰런 시립공항,FLX,US,NA
Tipton Airport,팁턴 공항,FME,US,NA
Four Corners Regional Airport,포코너스 지역공항,FMN,US,NA
Northern Colorado Regional Airport,북부 콜로라도 지역 공항,FNL,US,NA
Bishop International Airport,비숍 국제공항,FNT,US,NA
Fort Dodge Regional Airport,포트다지 지역공항,FOD,US,NA
Topeka Regional Airport,토피카 지역공항,FOE,US,NA
Francis S Gabreski Airport,프란시스 S 가브레스키 공항,FOK,US,NA
Fillmore Municipal Airport,필모어 시립공항,FIL,US,NA
St Lucie County International Airport,세인트루시 카운티 국제공항,FPR,US,NA
Republic Airport,리퍼블릭 공항,FRG,US,NA
French Lick Municipal Airport,프렌치 릭 시립공항,FRH,US,NA
Fairmont Municipal Airport,페어몬트 시립공항,FRM,US,NA
Front Royal Warren County Airport,프론트 로얄 워렌 카운티 공항,FRR,US,NA
Fort Scott Municipal Airport,포트 스콧 시립공항,FSK,US,NA
Fort Smith Regional Airport,포트스미스 지역공항,FSM,US,NA
Fort Stockton Pecos County Airport,포트 스톡턴 페코스 카운티 공항,FST,US,NA
Fort Sumner Municipal Airport,포트섬너 시립공항,FSU,US,NA
Fort Madison Municipal Airport,포트매디슨 시립공항,FMS,US,NA
Fort Worth Meacham International Airport,포트워스 미첨 국제공항,FTW,US,NA
Fullerton Municipal Airport,풀러턴 시립공항,FUL,US,NA
Northern Aroostook Regional Airport,북부 아루스투크 지역공항,WFK,US,NA
Fort Wayne International Airport,포트웨인 국제공항,FWA,US,NA
Fort Lauderdale Executive Airport,포트로더데일 이그제큐티브 공항,FXE,US,NA
Forest City Municipal Airport,포레스트 시티 시립공항,FXY,US,NA
Fayetteville Municipal Airport,페이엣빌 시립공항,FYM,US,NA
Northeast Alabama Regional Airport,북동부 앨라배마 지역공항,GAD,US,NA
Gage Heibeck Airport,게이지 하이벡 공항,GAG,US,NA
Great Bend Municipal Airport,그레이트 벤드 시립공항,GBD,US,NA
Galesburg Municipal Airport,게일스버그 시립공항,GBG,US,NA
Walter J. Koladza Airport,월터 J. 콜라드자 공항,GBR,US,NA
Northeast Wyoming Regional Airport,노스이스트 와이오밍 지역공항,GCC,US,NA
Garden City Regional Airport,가든시티 지역공항,GCK,US,NA
Grand Canyon National Park Airport,그랜드캐년 국립공원 공항,GCN,US,NA
Greeneville Municipal Airport,그린빌 시립공항,GCY,US,NA
Gardner Municipal Airport,가드너 시립공항,GDM,US,NA
Dawson Community Airport,도슨 커뮤니티 공항,GDV,US,NA
Gladwin Zettel Memorial Airport,글래드윈 제텔 메모리얼 공항,GDW,US,NA
Delaware Coastal Airport,델라웨어 해안 공항,GED,US,NA
Spokane International Airport,스포캔 국제공항,GEG,US,NA
South Big Horn County Airport,사우스빅혼 카운티 공항,GEY,US,NA
Grand Forks International Airport,그랜드포크스 국제공항,GFK,US,NA
Floyd Bennett Memorial Airport,플로이드 베넷 메모리얼 공항,GFL,US,NA
Georgetown County Airport,조지타운 카운티 공항,GGE,US,NA
East Texas Regional Airport,이스트 텍사스 지역공항,GGG,US,NA
Wokal Field/Glasgow-Valley County Airport,워칼 필드/글래스고-밸리 카운티 공항,GGW,US,NA
Centerville Municipal Airport,센터빌 시립공항,GHM,US,NA
Grand Junction Regional Airport,그랜드 정션 지역공항,GJT,US,NA
Port Meadville Airport,포트미드빌 공항,MEJ,US,NA
Gatlinburg-Pigeon Forge Airport,개틀린버그-피전 포지 공항,GKT,US,NA
Goodland Municipal Airport,굿랜드 시립공항,GLD,US,NA
Gainesville Municipal Airport,게인즈빌 시립공항,GLE,US,NA
Mid Delta Regional Airport,미드 델타 지역 공항,GLH,US,NA
Gaylord Regional Airport,게이로드 지역공항,GLR,US,NA
Scholes International At Galveston Airport,스콜스 인터내셔널 앳 갤버스턴 공항,GLS,US,NA
Glasgow Municipal Airport,글래스고 시립공항,GLW,US,NA
Greenville Downtown Airport,그린빌 다운타운 공항,GMU,US,NA
Gooding Municipal Airport,구딩 시립공항,GNG,US,NA
Grants-Milan Municipal Airport,그랜츠-밀라노 시립공항,GNT,US,NA
Gainesville Regional Airport,게인즈빌 지역공항,GNV,US,NA
Guthrie-Edmond Regional Airport,거스리-에드먼드 지역공항,GOK,US,NA
Groton New London Airport,그로턴 뉴 런던 공항,GON,US,NA
Glacier Park International Airport,글레이셔 파크 국제공항,FCA,US,NA
Gulfport Biloxi International Airport,걸프포트 빌럭시 국제공항,GPT,US,NA
Galion Municipal Airport,갈리온 시립공항,GQQ,US,NA
Austin Straubel International Airport,오스틴 스트라우벨 국제공항,GRB,US,NA
Greenwood County Airport,그린우드 카운티 공항,GRD,US,NA
Greenville Airport,그린빌 공항,GRE,US,NA
Central Nebraska Regional Airport,센트럴 네브래스카 지역공항,GRI,US,NA
Gordon Municipal Airport,고든 시립공항,GRN,US,NA
Gerald R. Ford International Airport,제럴드 R. 포드 국제공항,GRR,US,NA
Goshen Municipal Airport,고센 시립공항,GSH,US,NA
Piedmont Triad International Airport,피드몬트 트라이어드 국제공항,GSO,US,NA
Greenville Spartanburg International Airport,그린빌 스파턴버그 국제공항,GSP,US,NA
Great Falls International Airport,그레이트폴스 국제공항,GTF,US,NA
Grantsburg Municipal Airport,그랜츠버그 시립공항,GTG,US,NA
Golden Triangle Regional Airport,골든 트라이앵글 지역공항,GTR,US,NA
Gunnison Crested Butte Regional Airport,거니슨 크레스티드 뷰트 지역공항,GUC,US,NA
Gallup Municipal Airport,갤럽 시립공항,GUP,US,NA
Guymon Municipal Airport,가이몬 시립공항,GUY,US,NA
Lee Gilmer Memorial Airport,리 길머 메모리얼 공항,GVL,US,NA
Majors Airport,메이저 공항,GVT,US,NA
Kagi Airport,카기 공항,KGW,PG,OC
Glenwood Springs Municipal Airport,글렌우드 스프링스 시립공항,GWS,US,NA
Grayling Airport,그레이링 공항,KGX,US,NA
Donaldson Field Airport,도날드슨 필드 공항,GDC,US,NA
Phoenix Goodyear Airport,피닉스 굿이어 공항,GYR,US,NA
Gary Chicago International Airport,게리 시카고 국제공항,GYY,US,NA
Glacier Creek Airport,글레이셔 크릭 공항,KGZ,US,NA
Dara Sakor International Airport,다라 사코르 국제공항,DSY,KH,AS
Marion County Rankin Fite Airport,매리언 카운티 랭킨 피트 공항,HAB,US,NA
Half Moon Bay Airport,하프문 베이 공항,HAF,US,NA
Three Rivers Municipal Dr Haines Airport,쓰리 리버스 시립 Dr Haines 공항,HAI,US,NA
Hattiesburg Bobby L Chain Municipal Airport,해티즈버그 바비 L 체인 시립공항,HBG,US,NA
Hobart Regional Airport,호바트 지역공항,HBR,US,NA
Yampa Valley Airport,얌파 밸리 공항,HDN,US,NA
Thompson-Robbins Airport,톰슨-로빈스 공항,HEE,US,NA
Hartford Brainard Airport,하트포드 브레이너드 공항,HFD,US,NA
Jack Northrop Field Hawthorne Municipal Airport,잭 노스롭 필드 호손 시립공항,HHR,US,NA
Stan Stamper Municipal Airport,스탠 스탬퍼 시립공항,HUJ,US,NA
Range Regional Airport,레인지 지역공항,HIB,US,NA
Mount Washington Regional Airport,마운트 워싱턴 지역공항,HIE,US,NA
Lake Havasu City International Airport,레이크 하바수 시티 국제공항,HII,US,NA
Portland Hillsboro Airport,포틀랜드 힐스보로 공항,HIO,US,NA
Blytheville Municipal Airport,블라이스빌 시립공항,HKA,US,NA
Hickory Regional Airport,히코리 지역 공항,HKY,US,NA
Hillenbrand Industries Airport,힐렌브랜드 인더스트리즈 공항,HLB,US,NA
Hill City Municipal Airport,힐시티 시립공항,HLC,US,NA
Wheeling Ohio County Airport,휠링 오하이오 카운티 공항,HLG,US,NA
Park Township Airport,파크 타운십 공항,HLM,US,NA
Helena Regional Airport,헬레나 지역공항,HLN,US,NA
Hemet Ryan Airport,헤멧 라이언 공항,HMT,US,NA
Huntingburg Airport,헌팅버그 공항,HNB,US,NA
Henderson Executive Airport,헨더슨 이그제큐티브 공항,HSH,US,NA
Lea County Regional Airport,레아 카운티 지역공항,HOB,US,NA
Huron Regional Airport,휴런 지역공항,HON,US,NA
Memorial Field Airport,메모리얼필드 공항,HOT,US,NA
William P Hobby Airport,윌리엄 P 호비 공항,HOU,US,NA
Westchester County Airport,웨스트체스터 카운티 공항,HPN,US,NA
Hampton Municipal Airport,햄프턴 시립공항,HPT,US,NA
Baytown Airport,베이타운 공항,HPY,US,NA
Bowerman Airport,바워만 공항,HQM,US,NA
Hermiston Municipal Airport,허미스턴 시립공항,HES,US,NA
Valley International Airport,밸리 국제공항,HRL,US,NA
Boone County Airport,분 카운티 공항,HRO,US,NA
Harrisburg-Raleigh Airport,해리스버그-롤리 공항,HSB,US,NA
Billy Mitchell Airport,빌리 미첼 공항,HNC,US,NA
Hot Springs County Airport,핫스프링스 카운티 공항,THP,US,NA
Hastings Municipal Airport,헤이스팅스 시립공항,HSI,US,NA
Homestead ARB Airport,홈스테드 ARB 공항,HST,US,NA
Hawthorne Industrial Airport,호손 산업 공항,HTH,US,NA
Roscommon County - Blodgett Memorial Airport,로스커먼 카운티 - 블로젯 메모리얼 공항,HTL,US,NA
Town of East Hampton Airport,이스트 햄튼 공항 타운,HTO,US,NA
Houlton International Airport,홀턴 국제공항,HUL,US,NA
Houma Terrebonne Airport,후마 테레본 공항,HUM,US,NA
Hutchinson Municipal Airport,허친슨 시립공항,HUT,US,NA
Hanksville Airport,행크스빌 공항,HVE,US,NA
Tweed New Haven Airport,트위드 뉴 헤이븐 공항,HVN,US,NA
Havre City County Airport,아브르 시티 카운티 공항,HVR,US,NA
Hartsville Regional Airport,하츠빌 지역공항,HVS,US,NA
Hayward Executive Airport,헤이워드 이그제큐티브 공항,HWD,US,NA
