airport_name,airport_kr_name,airport_iata_code,airport_continent,airport_iso_country
Samangoky Airport,사만고키 공항,TDV,AF,MG
Morombe Airport,모롬베 공항,MXM,AF,MG
Toliara Airport,톨리아라 공항,TLE,AF,MG
Vangaindrano Airport,방가인드라노 공항,VND,AF,MG
Betioky Airport,베티오키 공항,BKU,AF,MG
Ampanihy Airport,암파니히 공항,AMP,AF,MG
Ankazoabo Airport,안카조아보 공항,WAK,AF,MG
Ambriz Airport,암브리즈 공항,AZZ,AF,AO
Mbanza Congo Airport,음반자 콩고 공항,SSY,AF,AO
Benguela 17th of September Airport,벵겔라 9월 17일 공항,BUG,AF,AO
Lumbala Airport,룸발라 공항,GGC,AF,AO
Cabinda Airport,카빈다 공항,CAB,AF,AO
Cafunfo Airport,카펀포 공항,CFF,AF,AO
Chitato Airport,치타토 공항,PGI,AF,AO
Catumbela Airport,카툼벨라 공항,CBT,AF,AO
Cuito Cuanavale Airport,쿠이토 쿠아나베일 공항,CTI,AF,AO
Camaxilo Airport,카막실로 공항,CXM,AF,AO
Cazombo Airport,카좀보 공항,CAV,AF,AO
Funadhoo Airport,푸나두 공항,FND,AS,MV
Dundo Airport,던도 공항,DUE,AF,AO
Fane Airport,파네 공항,FNE,OC,PG
Ngjiva Pereira Airport,응지바 페레이라 공항,VPE,AF,AO
Nova Lisboa Airport,노바리스보아 공항,NOV,AF,AO
Kuito Airport,쿠이토 공항,SVP,AF,AO
Lobito Airport,로비토 공항,LLT,AF,AO
Lucapa Airport,루카파 공항,LBZ,AF,AO
Quatro de Fevereiro International Airport,콰트로 데 페베레이로 국제공항,LAD,AF,AO
Luzamba Airport,루잠바 공항,LZM,AF,AO
Malanje Airport,말란제 공항,MEG,AF,AO
Menongue Airport,메농그 공항,SPP,AF,AO
Welwitschia Mirabilis International Airport,웰위치아 미라빌리스 국제공항,MSZ,AF,AO
Negage Airport,네가게 공항,GXG,AF,AO
Porto Amboim Airport,포르토 암보임 공항,PBN,AF,AO
Saurimo Airport,사우리모 공항,VHC,AF,AO
Soyo Airport,소요공항,SZA,AF,AO
Sumbe Airport,숨베 공항,NDD,AF,AO
Luau Airport,루아우 공항,UAL,AF,AO
Lubango Airport,루방고 공항,SDD,AF,AO
Luena Airport,루에나 공항,LUO,AF,AO
Uige Airport,우이게 공항,UGO,AF,AO
Waco Kungo Airport,웨이코 공항,CEO,AF,AO
Xangongo Airport,상공고 공항,XGN,AF,AO
N'zeto Airport,은제토 공항,ARZ,AF,AO
Nzagi Airport,은자기 공항,NZA,AF,AO
Booue Airport,부에 공항,BGB,AF,GA
Ndende Airport,감옥 공항,KDN,AF,GA
Fougamou Airport,푸가무 공항,FOU,AF,GA
M'Bigou Airport,음비구 공항,MBC,AF,GA
Moabi Airport,모아비 공항,MGX,AF,GA
Ville Airport,빌 공항,KDJ,AF,GA
Koulamoutou Mabimbi Airport,쿨라무투 마비비 공항,KOU,AF,GA
Mouilla Ville Airport,무야 빌 공항,MJL,AF,GA
Oyem Airport,오엠 공항,OYE,AF,GA
Okondja Airport,오콘자 공항,OKN,AF,GA
Lambarene Airport,람바렌 공항,LBQ,AF,GA
Minvoul Airport,민불 공항,MVX,AF,GA
Bitam Airport,비탐공항,BMM,AF,GA
Moanda Airport,모안다 공항,MFF,AF,GA
Mekambo Airport,메캄보 공항,MKB,AF,GA
Port Gentil Airport,포트 장틸 공항,POG,AF,GA
Omboue Hospital Airport,옴부에 병원 공항,OMB,AF,GA
Tchongorove Airport,총고로브 공항,IGE,AF,GA
Makokou Airport,마코코 공항,MKU,AF,GA
Libreville Leon M'ba International Airport,리브르빌 레온 음바 국제공항,LBV,AF,GA
Mitzic Airport,미치치 공항,MZC,AF,GA
M'Vengue El Hadj Omar Bongo Ondimba International Airport,음벤게 엘 하지 오마르 봉고 온딤바 국제공항,MVB,AF,GA
Lastourville Airport,라스토빌 공항,LTL,AF,GA
Tchibanga Airport,치방가 공항,TCH,AF,GA
Mayumba Airport,주택 공항,MYB,AF,GA
Principe Airport,프린시페 공항,PCP,AF,ST
Angoche Airport,앙고체 공항,ANO,AF,MZ
Beira Airport,베이라 공항,BEW,AF,MZ
Cuamba Airport,쿠암바 공항,FXO,AF,MZ
Chimoio Airport,치모이오 공항,VPY,AF,MZ
Inhaca Airport,인하카 공항,IHC,AF,MZ
Inhambane Airport,인함바네 공항,INH,AF,MZ
Lichinga Airport,리싱가 공항,VXC,AF,MZ
Lumbo Airport,룸보 공항,LFB,AF,MZ
Maputo Airport,마푸토 공항,MPM,AF,MZ
Mueda Airport,무에다 공항,MUD,AF,MZ
Nacala Airport,나칼라 공항,MNC,AF,MZ
Nampula Airport,남풀라 공항,APL,AF,MZ
Pemba Airport,펨바 공항,POL,AF,MZ
Ponta do Ouro Airport,폰타 두 오루 공항,PDD,AF,MZ
Quelimane Airport,켈리마네 공항,UEL,AF,MZ
Chingozi Airport,칭고지 공항,TET,AF,MZ
Vilankulo Airport,빌란쿨로 공항,VNX,AF,MZ
Xai-Xai Chongoene Airport,샤이샤이 총고엔 공항,VJB,AF,MZ
Desroches Airport,데로슈 공항,DES,AF,SC
Seychelles International Airport,세이셸 국제공항,SEZ,AF,SC
Fossil Downs Airport,화석 다운스 공항,FSL,OC,AU
Praslin Airport,프랄린 공항,PRI,AF,SC
Bird Island Airport,버드 아일랜드 공항,BDI,AF,SC
Denis Island Airport,데니스 아일랜드 공항,DEI,AF,SC
Sarh Airport,사르 공항,SRH,AF,TD
Bongor Airport,봉고르 공항,OGR,AF,TD
Abeche Airport,아베체 공항,AEH,AF,TD
Moundou Airport,문두 공항,MQQ,AF,TD
Lai Airport,라이 공항,LTC,AF,TD
Ati Airport,그리고 공항,ATV,AF,TD
N'Djamena International Airport,은자메나 국제공항,NDJ,AF,TD
Bokoro Airport,보코로 공항,BKR,AF,TD
Bol-Berim Airport,볼베림 공항,OTC,AF,TD
Mongo Airport,몽고 공항,MVO,AF,TD
Am Timan Airport,암 티만 공항,AMC,AF,TD
Pala Airport,팔라 공항,PLF,AF,TD
Bousso Airport,부소 공항,OUT,AF,TD
Mao Airport,마오 공항,AMO,AF,TD
Faya Largeau Airport,파야 라르고 공항,FYT,AF,TD
Fulleborn Airport,풀레본 공항,FUB,OC,PG
Bumi Hills Airport,부미힐스 공항,BZH,AF,ZW
Joshua Mqabuko Nkomo International Airport,조슈아 음카부코 은코모 국제공항,BUQ,AF,ZW
Chipinge Airport,치핑게 공항,CHJ,AF,ZW
Buffalo Range Airport,버팔로 레인지 공항,BFO,AF,ZW
Victoria Falls International Airport,빅토리아폴스 국제공항,VFA,AF,ZW
Robert Gabriel Mugabe International Airport,로버트 가브리엘 무가베 국제공항,HRE,AF,ZW
Kariba International Airport,카리바 국제공항,KAB,AF,ZW
Mahenye Airport,마헨예 공항,MJW,AF,ZW
Mutare Airport,무타레 공항,UTA,AF,ZW
Masvingo International Airport,마스빙고 국제공항,MVZ,AF,ZW
Hwange National Park Airport,황게 국립공원 공항,HWN,AF,ZW
Hwange (Town) Airport,황게(타운) 공항,WKI,AF,ZW
Chelinda Malawi Airport,첼린다 말라위 공항,CEH,AF,MW
Chileka International Airport,칠레 국제공항,BLZ,AF,MW
Club Makokola Airport,클럽 마코콜라 공항,CMK,AF,MW
Dwangwa Airport,드왕와 공항,DWA,AF,MW
Karonga Airport,카롱가 공항,KGJ,AF,MW
Kasungu Airport,카숭구 공항,KBQ,AF,MW
Lilongwe International Airport,릴롱웨 국제공항,LLW,AF,MW
Likoma Island Airport,리코마 아일랜드 공항,LIX,AF,MW
Mangochi Airport,망고치 공항,MAI,AF,MW
Monkey Bay Airport,몽키 베이 공항,MYZ,AF,MW
Salima Airport,살리마 공항,LMB,AF,MW
Mzuzu Airport,음주주 공항,ZZU,AF,MW
Lebakeng Airport,레바켕 공항,LEF,AF,LS
Leribe Airport,레리베 공항,LRB,AF,LS
Lesobeng Airport,레소벵 공항,LES,AF,LS
Matsaile Airport,마싸일 공항,MSG,AF,LS
Mafeteng Airport,마페텡 공항,MFC,AF,LS
Mokhotlong Airport,목틀롱 공항,MKH,AF,LS
Moshoeshoe I International Airport,모슈슈 I 국제공항,MSU,AF,LS
Nkaus Airport,은카우스 공항,NKU,AF,LS
Pelaneng Airport,펠라능 공항,PEL,AF,LS
Quthing Airport,취딩 공항,UTG,AF,LS
Qacha's Nek Airport,더티스 넥 공항,UNE,AF,LS
Sehonghong Airport,세홍홍 공항,SHK,AF,LS
Sekakes Airport,세카케스 공항,SKQ,AF,LS
Semonkong Airport,세몬콩 공항,SOK,AF,LS
Seshutes Airport,세슈테스 공항,SHZ,AF,LS
Thaba-Tseka Airport,타바체카 공항,THB,AF,LS
Tlokoeng Airport,트롤로엥 공항,TKO,AF,LS
Ai-Ais Airport,Ai-Ais 공항,AIW,AF,NA
Arandis Airport,아란디스 공항,ADI,AF,NA
Gobabis Airport,고바비스 공항,GOG,AF,NA
Grootfontein Airport,그루트폰테인 공항,GFY,AF,NA
Halali Airport,법적 공항,HAL,AF,NA
Karasburg Airport,카라스버그 공항,KAS,AF,NA
Katima Mulilo Airport,카티마무릴로 공항,MPA,AF,NA
Keetmanshoop Airport,키트만쇼프 공항,KMP,AF,NA
Lianshulu Airport,리안슐루 공항,LHU,AF,NA
Luderitz Airport,뤼데리츠 공항,LUD,AF,NA
Mount Etjo Airport,마운트 에조 공항,MJO,AF,NA
Midgard Airport,미드가르드 공항,MQG,AF,NA
Mokuti Lodge Airport,소 로지 에어포트,OKU,AF,NA
Namutoni Airport,나무토니 공항,NNI,AF,NA
Ondangwa Airport,온당와 공항,OND,AF,NA
Omega Airport,오메가 공항,OMG,AF,NA
Oranjemund Airport,오렌지문트 공항,OMD,AF,NA
Okaukuejo Airport,오카우쿠에조 공항,OKF,AF,NA
Opuwa Airport,오푸와 공항,OPW,AF,NA
Oshakati Airport,오샤카티 공항,OHI,AF,NA
Otjiwarongo Airport,옷지와롱고 공항,OTJ,AF,NA
Rundu Airport,룬두 공항,NDU,AF,NA
Skorpion Mine Airport,스콜피온 광산 공항,RHN,AF,NA
Terrace Bay Airport,테라스 베이 공항,TCY,AF,NA
Tsumeb Airport,추메브 공항,TSB,AF,NA
Walvis Bay Airport,월비스 베이 공항,WVB,AF,NA
Eros Airport,에로스 공항,ERS,AF,NA
Hosea Kutako International Airport,호세아 쿠타 국제공항,WDH,AF,NA
Ndjili International Airport,은질리 국제공항,FIH,AF,CD
Ndolo Airport,은돌로 공항,NLO,AF,CD
Muanda Airport,무안다 공항,MNB,AF,CD
Boma Airport,보마 공항,BOA,AF,CD
Luozi Airport,루오쯔 공항,LZI,AF,CD
Tshimpi Airport,침피 공항,MAT,AF,CD
N'Kolo-Fuma Airport,은콜로푸마 공항,NKL,AF,CD
Inongo Airport,모든 공항,INO,AF,CD
Nioki Airport,니오키 공항,NIO,AF,CD
Bandundu Airport,반둔두 공항,FDU,AF,CD
Kiri Airport,왼쪽 공항,KRZ,AF,CD
Kikwit Airport,키크위트 공항,KKW,AF,CD
Idiofa Airport,이디오파 공항,IDF,AF,CD
Lusanga Airport,루상가 공항,LUS,AF,CD
Masi Manimba Airport,마시 마님바 공항,MSM,AF,CD
Mbandaka Airport,음반다카 공항,MDK,AF,CD
Basankusu Airport,바산쿠수 공항,BSU,AF,CD
Libenge Airport,리벤게 공항,LIE,AF,CD
Gbadolite Airport,그바돌라이트 공항,BDT,AF,CD
Gemena Airport,게메나 공항,GMA,AF,CD
Bumba Airport,붐바 공항,BMB,AF,CD
Lisala Airport,리살라 공항,LIQ,AF,CD
Boende Airport,숙박 공항,BNB,AF,CD
Ikela Airport,이켈라 공항,IKL,AF,CD
Bangoka International Airport,방오카 국제공항,FKI,AF,CD
Yangambi Airport,양감비 공항,YAN,AF,CD
Matari Airport,마타리 공항,IRP,AF,CD
Bunia Airport,부니아 공항,BUX,AF,CD
Buta Zega Airport,부타제가 공항,BZU,AF,CD
Bukavu Kavumu Airport,부카부카부무 공항,BKY,AF,CD
Goma International Airport,고마 국제공항,GOM,AF,CD
Beni Airport,베니 공항,BNC,AF,CD
Kindu Airport,킨두 공항,KND,AF,CD
Kinkungwa Airport,킨쿵와 공항,KLY,AF,CD
Punia Airport,푸니아 공항,PUN,AF,CD
Lubumbashi International Airport,루붐바시 국제공항,FBM,AF,CD
Pweto Airport,프웨토 공항,PWO,AF,CD
Kasenga Airport,카센가 공항,KEC,AF,CD
Kolwezi Airport,콜웨지 공항,KWZ,AF,CD
Manono Airport,마노노 공항,MNO,AF,CD
Moba Airport,모바 공항,BDV,AF,CD
Kalemie Airport,칼레미 공항,FMI,AF,CD
Kabalo Airport,카발로 공항,KBO,AF,CD
Kongolo Airport,콩골로 공항,KOO,AF,CD
Kamina City Airport,카미나 시티공항,KMN,AF,CD
Kapanga Airport,카팡가 공항,KAP,AF,CD
Kaniama Airport,카니아마 공항,KNM,AF,CD
Kananga Airport,카낭가 공항,KGA,AF,CD
Luiza Airport,루이사 공항,LZA,AF,CD
Tshikapa Airport,치카파 공항,TSH,AF,CD
Lodja Airport,로자 공항,LJA,AF,CD
Lusambo Airport,루삼보 공항,LBO,AF,CD
Mweka Airport,음베카 공항,MEW,AF,CD
Basongo Airport,바송고 공항,BAN,AF,CD
Ilebo Airport,일레보 공항,PFR,AF,CD
Mbuji Mayi Airport,음부지 마이 공항,MJM,AF,CD
Miele Mimbale Airport,밀레 밈발레 공항,GIM,AF,GA
Akieni Airport,아키에니 공항,AKE,AF,GA
Gamba Airport,감바 공항,GAX,AF,GA
Gabbs Airport,갭스 공항,GAB,NA,US
Modibo Keita International Airport,모디보 케이타 국제공항,BKO,AF,ML
Goundam Airport,건담공항,GUD,AF,ML
Gao Airport,가오 공항,GAQ,AF,ML
Kenieba Airport,케니에바 공항,KNZ,AF,ML
Koutiala Airport,쿠티알라 공항,KTX,AF,ML
Kayes Dag Dag Airport,카이스 다그 다그 공항,KYS,AF,ML
Nara Airport,나라공항,NRM,AF,ML
Nioro du Sahel Airport,니오로 뒤 사헬 공항,NIX,AF,ML
Sikasso Airport,시카소 공항,KSS,AF,ML
Timbuktu Airport,팀북투 공항,TOM,AF,ML
Guasopa Airport,구아소파 공항,GAZ,OC,PG
Papa Stour Airport,파파 스투어 공항,PSV,EU,GB
Garbaharey Airport,가르바하레이 공항,GBM,AF,SO
Banjul International Airport,반줄 국제공항,BJL,AF,GM
Fuerteventura Airport,푸에르테벤투라 공항,FUE,AF,ES
La Gomera Airport,라 고메라 공항,GMZ,AF,ES
El Hierro Airport,엘 히에로 공항,VDE,AF,ES
La Palma Airport,라 팔마 공항,SPC,AF,ES
Gran Canaria Airport,그란 카나리아 공항,LPA,AF,ES
Tenerife Sur Airport,테네리페 수르 공항,TFS,AF,ES
Gravatai Airport,그라바타이 공항,GCV,SA,BR
Tenerife Norte-Ciudad de La Laguna Airport,테네리페 북부 라 라구나 공항,TFN,AF,ES
Melilla Airport,멜리야 공항,MLN,AF,ES
Gewoia Airport,게보이아 공항,GEW,OC,PG
Camopi Airport,카모피 공항,OYC,SA,GF
Bo Airport,보 공항,KBS,AF,SL
Gbangbatok Airport,방바톡 공항,GBK,AF,SL
Hastings Airport,헤이스팅스 공항,HGS,AF,SL
Kabala Airport,카발라 공항,KBA,AF,SL
Kenema Airport,케네마 공항,KEN,AF,SL
Lungi International Airport,룽기 국제공항,FNA,AF,SL
Yengema Airport,옌게마 공항,WYE,AF,SL
Bubaque Airport,부바크 공항,BQE,AF,GW
Osvaldo Vieira International Airport,오스발도 비에이라 국제공항,OXB,AF,GW
Buchanan Airport,뷰캐넌 공항,UCN,AF,LR
Cape Palmas Airport,케이프 팔마스 공항,CPA,AF,LR
Greenville/Sinoe Airport,그린빌/시노에 공항,SNI,AF,LR
Spriggs Payne Airport,스프릭스 페인 공항,MLW,AF,LR
Nimba Airport,님바 공항,NIA,AF,LR
Gulgubip Airport,굴굽공항,GLP,OC,PG
Roberts International Airport,로버츠 국제공항,ROB,AF,LR
Sasstown Airport,사스타운 공항,SAZ,AF,LR
Tchien Airport,천진공항,THC,AF,LR
Voinjama Airport,보인자마 공항,VOI,AF,LR
Al Massira Airport,알 마시라 공항,AGA,AF,MA
Tan Tan Airport,탄탄 공항,TTA,AF,MA
Bouarfa Airport,부아르파 공항,UAR,AF,MA
Moulay Ali Cherif Airport,물라이 알리 셰리프 공항,ERH,AF,MA
Bassatine Airport,바사틴 공항,MEK,AF,MA
Oujda Angads Airport,우지다 앙가드 공항,OUD,AF,MA
Smara Airport,스마라 공항,SMW,AF,EH
Ben Slimane Airport,벤 슬리마네 공항,GMD,AF,MA
Beni Mellal Airport,베니멜랄 공항,BEM,AF,MA
Dakhla Airport,다클라 공항,VIL,AF,EH
Essaouira-Mogador Airport,에사우이라-모가도르 공항,ESU,AF,MA
Hassan I Airport,하산 I 공항,EUN,AF,EH
Mohammed V International Airport,모하메드 5세 국제공항,CMN,AF,MA
Nador Al Aaroui International Airport,나도르 알 아루이 국제공항,NDR,AF,MA
Ouarzazate Airport,와르자자트 공항,OZZ,AF,MA
Cherif Al Idrissi Airport,셰리프 알 이드리시 공항,AHU,AF,MA
Sania Ramel Airport,사니아 라멜 공항,TTU,AF,MA
Tangier Ibn Battuta Airport,탕헤르 이븐 바투타 공항,TNG,AF,MA
Goodnews Airport,굿뉴스 에어포트,GNU,NA,US
Blaise Diagne International Airport,블레즈 디아뉴 국제공항,DSS,AF,SN
Kolda/Sare Bidji Airport,콜다/사레 비지 공항,KDA,AF,SN
Ziguinchor Airport,지긴쇼르 공항,ZIG,AF,SN
Cap Skirring Airport,캡 스키링 공항,CSK,AF,SN
Kaolack Airport,카올락 공항,KLC,AF,SN
Ouro Sogui Airport,오루 소구이 공항,MAX,AF,SN
Podor Airport,포도르 공항,POD,AF,SN
Richard Toll Airport,리처드 톨 공항,RDT,AF,SN
Saint Louis Airport,세인트 루이스 공항,XLS,AF,SN
Bakel Airport,베이켈 공항,BXE,AF,SN
Simenti Airport,시멘티 공항,SMY,AF,SN
Tambacounda Airport,탐바콘다 공항,TUD,AF,SN
Aioun el Atrouss Airport,아이온 엘 아트루스 공항,AEO,AF,MR
Boutilimit Airport,부티리미트 공항,OTL,AF,MR
Tichitt Airport,티칫 공항,THI,AF,MR
Tidjikja Airport,티지크자 공항,TIY,AF,MR
Abbaye Airport,애비 공항,BGH,AF,MR
Kiffa Airport,키파 공항,KFA,AF,MR
Timbedra Airport,팀베드라 공항,TMD,AF,MR
Akjoujt Airport,악주트 공항,AJJ,AF,MR
Letfotar Airport,레포타르 공항,MOM,AF,MR
Tamchakett Airport,탐차켓 공항,THT,AF,MR
Atar International Airport,아타르 국제공항,ATR,AF,MR
Fderik Airport,페데릭 공항,FGD,AF,MR
Nouadhibou International Airport,누아디부 국제공항,NDB,AF,MR
Tazadit Airport,타자디트 공항,OUZ,AF,MR
Grand Cess Airport,그랜드세스 공항,GRC,AF,LR
Chiquimula Airport,치키물라 공항,CIQ,NA,GT
Dos Lagunas Airport,도스 라구나스 공항,DON,NA,GT
El Naranjo Airport,엘 나란조 공항,ENJ,NA,GT
Paso Caballos Airport,파소 카바요스 공항,PCG,NA,GT
Uaxactun Airport,와악툰 공항,UAX,NA,GT
Playa Grande Airport,플라야 그란데 공항,PKJ,NA,GT
Conakry International Airport,코나크리 국제공항,CKY,AF,GN
Guriaso (Keraso) Airport,구리아소(케라소) 공항,GUE,OC,PG
Fria Airport,프리아 공항,FIG,AF,GN
Faranah Airport,파라나 공항,FAA,AF,GN
Kissidougou Airport,키시두구 공항,KSI,AF,GN
Tata Airport,타타 공항,LEK,AF,GN
Macenta Airport,마센타 공항,MCA,AF,GN
Sambailo Airport,삼바일로 공항,SBI,AF,GN
Siguiri Airport,시기리 공항,GII,AF,GN
Kankan Airport,칸칸 공항,KNN,AF,GN
Agostinho Neto Airport,아고스티뉴 네토 공항,NTO,AF,CV
Rabil Airport,라빌 공항,BVC,AF,CV
Gordonsville Municipal Airport,고든스빌 시립공항,GVE,NA,US
Maio Airport,메이 공항,MMO,AF,CV
Mosteiros Airport,모스테이로스 공항,MTI,AF,CV
Nelson Mandela International Airport,넬슨 만델라 국제공항,RAI,AF,CV
Bemichi Airport,베미치 공항,BCG,SA,GY
Botopasi Airport,보토파시 공항,BTO,SA,SR
Djumu-Djomoe Airport,Djumu-Djomoe 공항,DOE,SA,SR
Ladouanie Airport,라두아니 공항,LDO,SA,SR
Washabo Airport,와샤보 공항,WSO,SA,SR
Ghazni Airport,가즈니 공항,GZI,AS,AF
Addis Ababa Bole International Airport,아디스아바바 볼레 국제공항,ADD,AF,ET
Arba Minch Airport,아르바 민치 공항,AMH,AF,ET
Axum Airport,악숨 공항,AXU,AF,ET
Baco Airport,바코 공항,BCO,AF,ET
Bahir Dar Airport,바히르 다르 공항,BJR,AF,ET
Beica Airport,베이카 공항,BEI,AF,ET
Dembidollo Airport,뎀비돌로 공항,DEM,AF,ET
Debre Markos Airport,데브레 마르코스 공항,DBM,AF,ET
Aba Tenna Dejazmach Yilma International Airport,테나 데자즈마흐 일마 국제공항,DIR,AF,ET
Debre Tabor Airport,데브레 타보르 공항,DBT,AF,ET
Fincha Airport,핀차 공항,FNH,AF,ET
Robe Airport,로브 공항,GOB,AF,ET
Ghinnir Airport,기니르 공항,GNN,AF,ET
Gambela Airport,감벨라 공항,GMB,AF,ET
Gondar Airport,곤다르 공항,GDQ,AF,ET
Gode Airport,좋은 공항,GDE,AF,ET
Gore Airport,고어 공항,GOR,AF,ET
Harar Meda Airport,하라르 메다 공항,QHR,AF,ET
Humera Airport,휴메라 공항,HUE,AF,ET
Wilwal International Airport,윌왈 국제공항,JIJ,AF,ET
Jimma Airport,짐마 공항,JIM,AF,ET
Kebri Dahar Airport,케브리 다하르 공항,ABK,AF,ET
Kelafo East Airport,켈라포 이스트 공항,LFO,AF,ET
Hawassa International Airport,하와사 국제공항,AWA,AF,ET
Lalibella Airport,랄리벨라 공항,LLI,AF,ET
Mekane Selam Airport,메카네 셀람 공항,MKS,AF,ET
Alula Aba Nega Airport,알룰라 아바 네가 공항,MQX,AF,ET
Metema Airport,테마공항,ETE,AF,ET
Mendi Airport,멘디 공항,NDM,AF,ET
Mui River Airport,무이 리버 공항,MUJ,AF,ET
Mizan Teferi Airport,미잔 테페리 공항,MTF,AF,ET
Negele Airport,네겔레 공항,EGL,AF,ET
Nejjo Airport,네조 공항,NEJ,AF,ET
Nekemte Airport,네켐테 공항,NEK,AF,ET
Beles Airport,벨레스 공항,PWI,AF,ET
Soddu Airport,소두 공항,SXU,AF,ET
Shakiso Airport,샤키소 공항,SKR,AF,ET
Semera Airport,세메라 공항,SZE,AF,ET
Asosa Airport,아소스 공항,ASO,AF,ET
Tippi Airport,티피 공항,TIE,AF,ET
Warder Airport,워더 공항,WRA,AF,ET
Haycock Airport,헤이콕 공항,HAY,NA,US
Hatzfeldhaven Airport,하츠펠트하펜 공항,HAZ,OC,PG
Bujumbura Melchior Ndadaye International Airport,부줌부라 멜키오르 은다다예 국제공항,BJM,AF,BI
Gitega Airport,기테가 공항,GID,AF,BI
Kirundo Airport,기룬도 공항,KRE,AF,BI
Haibei Qilian Airport,하이베이 치롄 공항,HBQ,AS,CN
Caluula Airport,칼룰라 공항,ALU,AF,SO
Baidoa Airport,바이도아 공항,BIB,AF,SO
Qandala Airport,칸달라 공항,CXN,AF,SO
Baardheere Airport,바르데레 공항,BSY,AF,SO
Eil Airport,이일 공항,HCM,AF,SO
Bosaso / Bender Qassim International Airport,보사소/벤더 카심 국제공항,BSA,AF,SO
Gardo Airport,가르도 공항,GSR,AF,SO
Egal International Airport,에갈 국제공항,HGA,AF,SO
Berbera Airport,베르베라 공항,BBO,AF,SO
Lugh Ganane Airport,루 가나네 공항,LGX,AF,SO
Kismayo Airport,키스마요 공항,KMU,AF,SO
Aden Adde International Airport,아덴 아데 국제공항,MGQ,AF,SO
Beledweyne Airport,벨레드웨이네 공항,BLW,AF,SO
Hobyo Airport,호비오 공항,CMO,AF,SO
Galcaio Airport,갈카이오 공항,GLK,AF,SO
Iskushuban Airport,이스쿠수반 공항,CMS,AF,SO
Erigavo Airport,에리가보 공항,ERA,AF,SO
Burao Airport,부라오 공항,BUO,AF,SO
Garowe Airport,가로웨 공항,GGR,AF,SO
Djibouti-Ambouli Airport,지부티-암불리 공항,JIB,AF,DJ
Ali-Sabieh Airport,알리-사비에 공항,AII,AF,DJ
Moucha Airport,모카 공항,MHI,AF,DJ
Obock Airport,오보크 공항,OBC,AF,DJ
Tadjoura Airport,타주라 공항,TDJ,AF,DJ
El Minya Airport,엘 민야 공항,EMY,AF,EG
Bardawil International Airport,바르다윌 국제공항,RDL,AF,EG
Sidi EL Barrani Airport,시디 EL 바라니 공항,SQK,AF,EG
El Alamein International Airport,엘 알라메인 국제공항,DBB,AF,EG
El Arish International Airport,엘 아리시 국제공항,AAC,AS,EG
Asyut International Airport,아시우트 국제공항,ATZ,AF,EG
Borj El Arab International Airport,보르즈 엘 아랍 국제공항,HBE,AF,EG
Abu Simbel Airport,아부심벨 공항,ABS,AF,EG
Cairo International Airport,카이로 국제공항,CAI,AF,EG
Capital International Airport,수도 국제공항,CCE,AF,EG
Ad Dakhla Airport,아드 다클라 공항,DAK,AF,EG
Hurghada International Airport,후르가다 국제공항,HRG,AF,EG
El Jora Airport,조라 공항,EGH,AS,EG
El Kharja Airport,엘 카르자 공항,UVL,AF,EG
Luxor International Airport,룩소르 국제공항,LXR,AF,EG
Marsa Alam International Airport,마르사 알람 국제공항,RMF,AF,EG
Marsa Matruh International Airport,마르사 마트루 국제공항,MUH,AF,EG
Haelogo Airport,하에로고 공항,HEO,OC,PG
El Owainat East International Airport,엘 오와이나트 이스트 국제공항,GSQ,AF,EG
Port Said International Airport,포트사이드 국제공항,PSD,AF,EG
Saint Catherine International Airport,세인트 캐서린 국제공항,SKV,AF,EG
Suhaj Mubarak International Airport,수하즈 무바라크 국제공항,HMB,AF,EG
Sharm El Sheikh International Airport,샤름 엘 셰이크 국제공항,SSH,AF,EG
Aswan International Airport,아스완 국제공항,ASW,AF,EG
Siwa Oasis North Airport,시와 오아시스 노스 공항,SEW,AF,EG
Sphinx International Airport,스핑크스 국제공항,SPX,AF,EG
Taba International Airport,타바 국제공항,TCP,AS,EG
Et Tur Airport,그리고 투르 공항,ELT,AF,EG
Asmara International Airport,아스마라 국제공항,ASM,AF,ER
Massawa International Airport,마사와 국제공항,MSW,AF,ER
Assab International Airport,아사브 국제공항,ASA,AF,ER
Tessenei Airport,테세네이 공항,TES,AF,ER
Princeville Airport,프린스빌 공항,HPV,OC,US
Huai'an Lianshui International Airport,화이안 롄수이 국제공항,HIA,AS,CN
Shilavo Airport,실라보 공항,HIL,AF,ET
Juba International Airport,주바 국제공항,JUB,AF,SS
Amboseli Airport,암보셀리 공항,ASV,AF,KE
Healy Lake Airport,힐리 레이크 공항,HKB,NA,US
Eldoret International Airport,엘도레트 국제공항,EDL,AF,KE
Eliye Springs Airport,엘리예 스프링스 공항,EYS,AF,KE
Kalokol Airport,칼로콜 공항,KLK,AF,KE
Garissa Airport,가리사 공항,GAS,AF,KE
Hola Airport,하이에어포트,HOA,AF,KE
Jomo Kenyatta International Airport,조모 케냐타 국제공항,NBO,AF,KE
Keekorok Airport,키코록 공항,KEU,AF,KE
Kakamega Airport,카카메가 공항,GGM,AF,KE
Kisumu Airport,기사무 공항,KIS,AF,KE
Kilaguni Airport,킬라구니 공항,ILU,AF,KE
Kericho Airport,케리코 공항,KEY,AF,KE
Kitale Airport,키탈레 공항,KTL,AF,KE
Lokichoggio Airport,로키초지오 공항,LKG,AF,KE
Lodwar Airport,로드워 공항,LOK,AF,KE
Manda Airport,만다 공항,LAU,AF,KE
